Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/permissions/,2,2,2.3474999998143176,15.540650000048117,2.3474999998143176,28.733800000281917,306.0,0.3406003966480821,0.3406003966480821,29,29,29,29,29,29,29,29,29,29,29
POST,/api/permissions/,1,1,47.04799999990428,47.04799999990428,47.04799999990428,47.04799999990428,413.0,0.17030019832404106,0.17030019832404106,47,47,47,47,47,47,47,47,47,47,47
GET,/api/users/,5,5,5,5.08032000007006,2.5981999997384264,8.821400000215363,306.0,0.8515009916202053,0.8515009916202053,5,6,6,9,9,9,9,9,9,9,9
POST,/api/users/,13,13,43,32.2711384615454,7.554499999969266,49.09319999978834,471.53846153846155,2.213902578212534,2.213902578212534,43,44,44,44,47,49,49,49,49,49,49
,Aggregated,21,21,24,24.907414285735285,2.3474999998143176,49.09319999978834,413.57142857142856,3.576304164804862,3.576304164804862,24,43,44,44,47,47,49,49,49,49,49
